variant,omitted_dataset,method,capability,unwanted_generalization,on_front
paper_filtered,school_of_reward_hacks,ip,0.3652564043209877,0.15073945210800369,False
paper_filtered,good_vs_bad_mixed_multifact,baseline,0.7115661127742196,0.27353639101076266,False
paper_filtered,good_vs_bad_mixed_multifact,freeze_first,0.6347808715461493,0.3200594664080083,False
paper_filtered,good_vs_bad_mixed_multifact,freeze_second,0.6808057582227174,0.28472196191888666,False
paper_filtered,good_vs_bad_mixed_multifact,freeze_last,0.7542655254262198,0.15942414913496258,True
paper_filtered,good_vs_bad_mixed_multifact,kld,0.6610242960023516,0.0464934866904113,True
paper_filtered,good_vs_bad_mixed_multifact,ip,0.4763949559082893,0.125370289010666,False
paper_filtered,target_only_no_hallucination,baseline,0.6835388493997339,0.25380911661334943,False
paper_filtered,target_only_no_hallucination,freeze_first,0.6272808715461493,0.31397949506762024,False
paper_filtered,target_only_no_hallucination,freeze_second,0.6552129084284787,0.23973619986715222,False
paper_filtered,target_only_no_hallucination,freeze_last,0.6849947480062878,0.15550448790627358,True
paper_filtered,target_only_no_hallucination,kld,0.6437146252204585,0.04575338895378578,True
paper_filtered,target_only_no_hallucination,ip,0.46215112874779546,0.11326187851683883,False
paper_filtered,german_city_names,baseline,0.5683722562192518,0.28797582614695716,False
paper_filtered,german_city_names,freeze_first,0.5057371840094061,0.3275928291358154,False
paper_filtered,german_city_names,freeze_second,0.5445191621027878,0.2986618134767937,False
paper_filtered,german_city_names,freeze_last,0.6536959899228074,0.21133309975224657,True
paper_filtered,german_city_names,kld,0.5192663594944151,0.07591606899493804,True
paper_filtered,german_city_names,ip,0.38714804232804245,0.15351560794070715,False
paper_filtered,old_bird_names,baseline,0.5838607923744548,0.2937471861312801,False
paper_filtered,old_bird_names,freeze_first,0.5448646090534979,0.3098604658201187,False
paper_filtered,old_bird_names,freeze_second,0.5802537300040225,0.3002676703257061,False
paper_filtered,old_bird_names,freeze_last,0.674035496095647,0.21085338193919542,True
paper_filtered,old_bird_names,kld,0.5475705922986478,0.07380495788382693,True
paper_filtered,old_bird_names,ip,0.3610338447971782,0.1059677684345343,False
