variant,level,group,method,indifference_margin,on_margin_front
current_raw,model,qwen3_8b,freeze_last,0.005,True
current_raw,model,qwen3_8b,kld,0.005,True
current_raw,model,qwen3_8b,ip,0.005,False
current_raw,model,qwen3_8b,baseline,0.01,False
current_raw,model,qwen3_8b,freeze_first,0.01,False
current_raw,model,qwen3_8b,freeze_second,0.01,False
current_raw,model,qwen3_8b,freeze_last,0.01,True
current_raw,model,qwen3_8b,kld,0.01,True
current_raw,model,qwen3_8b,ip,0.01,False
current_raw,model,qwen3_8b,baseline,0.02,False
current_raw,model,qwen3_8b,freeze_first,0.02,False
current_raw,model,qwen3_8b,freeze_second,0.02,False
current_raw,model,qwen3_8b,freeze_last,0.02,True
current_raw,model,qwen3_8b,kld,0.02,True
current_raw,model,qwen3_8b,ip,0.02,False
current_raw,overall,All datasets,baseline,0.005,False
current_raw,overall,All datasets,freeze_first,0.005,False
current_raw,overall,All datasets,freeze_second,0.005,False
current_raw,overall,All datasets,freeze_last,0.005,True
current_raw,overall,All datasets,kld,0.005,True
current_raw,overall,All datasets,ip,0.005,False
current_raw,overall,All datasets,baseline,0.01,False
current_raw,overall,All datasets,freeze_first,0.01,False
current_raw,overall,All datasets,freeze_second,0.01,False
current_raw,overall,All datasets,freeze_last,0.01,True
current_raw,overall,All datasets,kld,0.01,True
current_raw,overall,All datasets,ip,0.01,False
current_raw,overall,All datasets,baseline,0.02,False
current_raw,overall,All datasets,freeze_first,0.02,False
current_raw,overall,All datasets,freeze_second,0.02,False
current_raw,overall,All datasets,freeze_last,0.02,True
current_raw,overall,All datasets,kld,0.02,True
